Index	Abbreviation	Full_Name	First_Level	Last_Level
2	ACgG	anterior_cingulate_gyrus	2	2
16	OFC	orbital_frontal_cortex	2	2
50	lat_PFC	lateral_prefrontal_cortex	2	2
77	motor	motor_cortex	2	2
91	SI/SII	somatosensory_cortex	2	2
96	SPL	superior_parietal_lobule	2	2
112	IPL	inferior_parietal_lobule	2	2
125	PMC	posterior_medial_cortex	2	2
139	MTL	medial_temporal_lobe	2	2
165	TG	temporal_pole	2	3
175	ITC	inferior_temporal_cortex	2	2
193	STG/STSd	superior_temporal_region	2	2
204	core/belt	core_and_belt_areas_of_auditory_cortex	2	2
224	floor_of_ls	floor_of_the_lateral_sulcus	2	3
232	MT	middle_temporal_area	2	6
233	V2-V4	extrastriate_visual_areas_2-4	2	2
246	V1	primary_visual_cortex	2	6
